bact,jacc
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.043
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.042
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.04
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
rnd_3_true_1,0.041
